dept,party,name,votes
Atlántida,DC,Ana Maribel Valle Rivera,2335
Atlántida,DC,Gloria Maria Sarmiento Nu¿ez,5372
Atlántida,DC,Jorge Alberto Elvir Cruz,2846
Atlántida,DC,Jose Armando Logan ,4909
Atlántida,DC,Josue Eleazer Aleman Izcoa,835
Atlántida,DC,Kenia Fabiola Chiesa Elvir,2321
Atlántida,DC,Kennia Yamileth Montero Martinez,2005
Atlántida,DC,Ramon Antonio Varela Medina,2382
Atlántida,FAPER,Alicia De Jesus Alvarez Acosta,579
Atlántida,FAPER,Arlen Carolina Martinez Guzman,254
Atlántida,FAPER,Cristobal Crispi Oliva Mejia,1712
Atlántida,FAPER,Juana Concepcion Aguilar Avelar,372
Atlántida,FAPER,Marcio Renieri Castellanos ,359
Atlántida,FAPER,Norma Patricia Guevara Gamez,689
Atlántida,FAPER,Santos Aristeo Lainez Hernandez,446
Atlántida,FAPER,Vilma Yolanda Pineda Ramirez,331
Atlántida,LIBRE,Audelia  Rodriguez Rodriguez,23558
Atlántida,LIBRE,Belin Bekker Rosa Calix,22340
Atlántida,LIBRE,Cesar Humberto Agurcia Lopez,23510
Atlántida,LIBRE,Gloria Cristina Torres Sevilla,21896
Atlántida,LIBRE,Joaquin Baldemar Alvarado ,23066
Atlántida,LIBRE,Jose Adalid Rodriguez Rosa,20186
Atlántida,LIBRE,Jose Anibal Rodriguez Milla,22891
Atlántida,LIBRE,Jose Manuel Santos Villeda,21638
Atlántida,Liberal,Alba Ruth Zavala Irias,13123
Atlántida,Liberal,Christian Reniery Santamaria ,25108
Atlántida,Liberal,Dournoft Delmar Alvarado Mc Nab,15935
Atlántida,Liberal,Gonzalo Antonio Rivera ,16725
Atlántida,Liberal,Hector Pavel Fajardo Orellana,16769
Atlántida,Liberal,Iris Leticia Molinero Canales,15767
Atlántida,Liberal,Jerry Francisco Sabio Amaya,18455
Atlántida,Liberal,Maria Aracely Leiva Pe¿a,19297
Atlántida,Nacional,Carmen Esperanza Rivera Pagoaga,37208
Atlántida,Nacional,Daniel  Flores Velasquez,32090
Atlántida,Nacional,Francis Yolanda Castro Rodriguez,27150
Atlántida,Nacional,Iveth Obdulia Matute Betancourth,26185
Atlántida,Nacional,Marcio Rene Espinal Cardona,31128
Atlántida,Nacional,Marco Antonio Midence Milla,32142
Atlántida,Nacional,Ramon Antonio Leva Bulnes,33544
Atlántida,Nacional,Rodolfo  Irias Navas,37865
Atlántida,PAC,Carlos Arturo San Martin Amador,9264
Atlántida,PAC,Carlos Mauricio Arge¿al Castro,9181
Atlántida,PAC,Gabriela  Guzman Mejia,9150
Atlántida,PAC,Kritza Jerlin Perez Gallegos,12834
Atlántida,PAC,Marie Jeannette Kawas Giacoman,11524
Atlántida,PAC,Obdulio  Madrid Zeron,8993
Atlántida,PAC,Ruth  Bonilla Argueta,9063
Atlántida,PAC,Tomas Antonio Ramirez Hernandez,12156
Atlántida,PAP,Dagoberto  Cruz Santos,1035
Atlántida,PAP,Fermin  Corrales Estrada,298
Atlántida,PAP,Francisco Jose Alvarado Zaldivar,271
Atlántida,PAP,Mirian Elizabeth Villanueva Blanco,515
Atlántida,PAP,Mirtha Esther Hernandez Dolmo,934
Atlántida,PAP,Otilia Janin Carrasco Ponce,844
Atlántida,PAP,Sila Claritza Mena Burgos,495
Atlántida,PAP,Victor Daniel Escobar Pe¿a,312
Atlántida,PINU,Bernard  Martinez Valerio,4171
Atlántida,PINU,Elbin Antonio Orellana Bermudez,776
Atlántida,PINU,Gladys Lizzette Zapata Guerrero,1677
Atlántida,PINU,Guillermo  Escoto Rodriguez,1085
Atlántida,PINU,Lidia Zenaida Fernandez Garcia,863
Atlántida,PINU,Melida Juliana Quevedo Ramirez,1343
Atlántida,PINU,Warren  Lopez Flores,543
Atlántida,PINU,Yeimy Lizbeth Zaldivar Castellanos,744
Atlántida,UD,Aldo Javier Cardona Alvarado,1814
Atlántida,UD,Alix Virginia Zapata ,677
Atlántida,UD,Darwin Alexander Montoya Ayala,707
Atlántida,UD,Javier Arquimides Martinez Reyes,1772
Atlántida,UD,Maria  Alberto Hernandez,1894
Atlántida,UD,Noemi Yadira Casta¿eda Lopez,994
Atlántida,UD,Pedro  Guevara ,1492
Atlántida,UD,Ramon Nectaly Guardado ,1392
Choluteca,DC,Brenda Isolina Erazo Herrera,1004
Choluteca,DC,Elmer Noe Garcia Moran,1642
Choluteca,DC,Jorge Manuel Lazo ,908
Choluteca,DC,Jose Rafael Berrios Flores,723
Choluteca,DC,Lizbeth Alejandra Sosa Euceda,804
Choluteca,DC,Lourdes Rosmery Ferrufino Cuevas,1150
Choluteca,DC,Luis Alonso Marcia Hernandez,6283
Choluteca,DC,Oscar Arnulfo Cruz ,1533
Choluteca,DC,Rosa Elena Martinez ,478
Choluteca,FAPER,Carlos Fabricio Flores Baca,460
Choluteca,FAPER,Franklin Erick Toru¿o Colindres,593
Choluteca,FAPER,Julia Maritza Vasquez Ponce,153
