type,dept,party,name,votes,elect
candidate,Atlántida,DC,Ana Maribel Valle Rivera,2337,0
candidate,Atlántida,DC,Gloria Maria Sarmiento Nu¿ez,5342,0
candidate,Atlántida,DC,Jorge Alberto Elvir Cruz,2843,0
candidate,Atlántida,DC,Jose Armando Logan ,4917,0
candidate,Atlántida,DC,Josue Eleazer Aleman Izcoa,835,0
candidate,Atlántida,DC,Kenia Fabiola Chiesa Elvir,2323,0
candidate,Atlántida,DC,Kennia Yamileth Montero Martinez,2017,0
candidate,Atlántida,DC,Ramon Antonio Varela Medina,2384,0
candidate,Atlántida,FAPER,Alicia De Jesus Alvarez Acosta,579,0
candidate,Atlántida,FAPER,Arlen Carolina Martinez Guzman,248,0
candidate,Atlántida,FAPER,Cristobal Crispi Oliva Mejia,1692,0
candidate,Atlántida,FAPER,Juana Concepcion Aguilar Avelar,375,0
candidate,Atlántida,FAPER,Marcio Renieri Castellanos ,359,0
candidate,Atlántida,FAPER,Norma Patricia Guevara Gamez,687,0
candidate,Atlántida,FAPER,Santos Aristeo Lainez Hernandez,446,0
candidate,Atlántida,FAPER,Vilma Yolanda Pineda Ramirez,331,0
candidate,Atlántida,LIBRE,Audelia  Rodriguez Rodriguez,23624,1
candidate,Atlántida,LIBRE,Belin Bekker Rosa Calix,22574,0
candidate,Atlántida,LIBRE,Cesar Humberto Agurcia Lopez,23607,1
candidate,Atlántida,LIBRE,Gloria Cristina Torres Sevilla,21896,0
candidate,Atlántida,LIBRE,Joaquin Baldemar Alvarado ,23061,0
candidate,Atlántida,LIBRE,Jose Adalid Rodriguez Rosa,20232,0
candidate,Atlántida,LIBRE,Jose Anibal Rodriguez Milla,22904,0
candidate,Atlántida,LIBRE,Jose Manuel Santos Villeda,21798,0
candidate,Atlántida,Liberal,Alba Ruth Zavala Irias,13121,0
candidate,Atlántida,Liberal,Christian Reniery Santamaria ,25086,1
candidate,Atlántida,Liberal,Dournoft Delmar Alvarado Mc Nab,16029,0
candidate,Atlántida,Liberal,Gonzalo Antonio Rivera ,16675,0
candidate,Atlántida,Liberal,Hector Pavel Fajardo Orellana,16795,0
candidate,Atlántida,Liberal,Iris Leticia Molinero Canales,15906,0
candidate,Atlántida,Liberal,Jerry Francisco Sabio Amaya,18459,0
candidate,Atlántida,Liberal,Maria Aracely Leiva Pe¿a,19288,1
candidate,Atlántida,Nacional,Carmen Esperanza Rivera Pagoaga,37480,1
candidate,Atlántida,Nacional,Daniel  Flores Velasquez,32376,0
candidate,Atlántida,Nacional,Francis Yolanda Castro Rodriguez,27206,0
candidate,Atlántida,Nacional,Iveth Obdulia Matute Betancourth,26339,0
candidate,Atlántida,Nacional,Marcio Rene Espinal Cardona,31223,0
candidate,Atlántida,Nacional,Marco Antonio Midence Milla,32300,0
candidate,Atlántida,Nacional,Ramon Antonio Leva Bulnes,33558,1
candidate,Atlántida,Nacional,Rodolfo  Irias Navas,37865,1
candidate,Atlántida,PAC,Carlos Arturo San Martin Amador,9264,0
candidate,Atlántida,PAC,Carlos Mauricio Arge¿al Castro,9191,0
candidate,Atlántida,PAC,Gabriela  Guzman Mejia,9171,0
candidate,Atlántida,PAC,Kritza Jerlin Perez Gallegos,12831,1
candidate,Atlántida,PAC,Marie Jeannette Kawas Giacoman,11518,0
candidate,Atlántida,PAC,Obdulio  Madrid Zeron,9110,0
candidate,Atlántida,PAC,Ruth  Bonilla Argueta,9065,0
candidate,Atlántida,PAC,Tomas Antonio Ramirez Hernandez,12340,0
candidate,Atlántida,PAP,Dagoberto  Cruz Santos,1038,0
candidate,Atlántida,PAP,Fermin  Corrales Estrada,298,0
candidate,Atlántida,PAP,Francisco Jose Alvarado Zaldivar,269,0
candidate,Atlántida,PAP,Mirian Elizabeth Villanueva Blanco,518,0
candidate,Atlántida,PAP,Mirtha Esther Hernandez Dolmo,933,0
candidate,Atlántida,PAP,Otilia Janin Carrasco Ponce,744,0
candidate,Atlántida,PAP,Sila Claritza Mena Burgos,484,0
candidate,Atlántida,PAP,Victor Daniel Escobar Pe¿a,312,0
candidate,Atlántida,PINU,Bernard  Martinez Valerio,4179,0
candidate,Atlántida,PINU,Elbin Antonio Orellana Bermudez,776,0
